0;7.46.0;0;Dec 2 2015;most recent;56;56;68;68;8;8;
1;7.45.0;0;Oct 7 2015;56 days;56;112;71;139;5;13;
2;7.44.0;0;Aug 12 2015;3 months;56;168;56;195;9;22;
3;7.43.0;0;Jun 17 2015;5 months;49;217;65;260;10;32;
4;7.42.1;0;Apr 29 2015;7 months;7;224;9;269;0;32;
5;7.42.0;0;Apr 22 2015;7 months;56;280;118;387;7;39;
6;7.41.0;0;Feb 25 2015;9 months;48;328;68;455;5;44;
7;7.40.0;0;Jan 8 2015;10 months;64;392;120;575;9;53;
8;7.39.0;0;Nov 5 2014;13 months;56;448;59;634;13;66;
9;7.38.0;0;Sep 10 2014;1.2 years;56;504;63;697;13;79;
10;7.37.1;0;Jul 16 2014;1.4 years;56;560;47;744;4;83;
11;7.37.0;0;May 21 2014;1.5 years;56;616;58;802;13;96;
12;7.36.0;0;Mar 26 2014;1.7 years;56;672;51;853;15;111;
13;7.35.0;0;Jan 29 2014;1.8 years;43;715;45;898;5;116;
14;7.34.0;0;Dec 17 2013;2.0 years;64;779;42;940;10;126;
15;7.33.0;0;Oct 14 2013;2.1 years;63;842;40;980;11;137;
16;7.32.0;0;Aug 12 2013;2.3 years;51;893;41;1021;5;142;
17;7.31.0;0;Jun 22 2013;2.4 years;71;964;39;1060;8;150;
18;7.30.0;0;Apr 12 2013;2.6 years;65;1029;50;1110;13;163;
19;7.29.0;0;Feb 6 2013;2.8 years;78;1107;35;1145;10;173;
20;7.28.1;0;Nov 20 2012;3.0 years;41;1148;31;1176;3;176;
21;7.28.0;0;Oct 10 2012;3.1 years;75;1223;37;1213;7;183;
22;7.27.0;0;Jul 27 2012;3.4 years;64;1287;23;1236;11;194;
23;7.26.0;0;May 24 2012;3.5 years;63;1350;28;1264;6;200;
24;7.25.0;0;Mar 22 2012;3.7 years;58;1408;25;1289;7;207;
25;7.24.0;0;Jan 24 2012;3.9 years;68;1476;54;1343;6;213;
26;7.23.1;0;Nov 17 2011;4.0 years;2;1478;1;1344;0;213;
27;7.23.0;0;Nov 15 2011;4.0 years;63;1541;31;1375;5;218;
28;7.22.0;0;Sep 13 2011;4.2 years;82;1623;27;1402;8;226;
29;7.21.7;0;Jun 23 2011;4.4 years;62;1685;17;1419;2;228;
30;7.21.6;0;Apr 22 2011;4.6 years;5;1690;4;1423;1;229;
31;7.21.5;0;Apr 17 2011;4.6 years;59;1749;41;1464;5;234;
32;7.21.4;0;Feb 17 2011;4.8 years;64;1813;29;1493;8;242;
33;7.21.3;0;Dec 15 2010;5.0 years;63;1876;28;1521;5;247;
34;7.21.2;0;Oct 13 2010;5.1 years;63;1939;38;1559;4;251;
35;7.21.1;0;Aug 11 2010;5.3 years;56;1995;37;1596;4;255;
36;7.21.0;0;Jun 16 2010;5.5 years;63;2058;17;1613;9;264;
37;7.20.1;0;Apr 14 2010;5.6 years;64;2122;30;1643;4;268;
38;7.20.0;0;Feb 9 2010;5.8 years;97;2219;28;1671;13;281;
39;7.19.7;0;Nov 4 2009;6.1 years;84;2303;29;1700;4;285;
40;7.19.6;0;Aug 12 2009;6.3 years;86;2389;27;1727;3;288;
41;7.19.5;0;May 18 2009;6.5 years;76;2465;29;1756;5;293;
42;7.19.4;0;Mar 3 2009;6.8 years;43;2508;15;1771;12;305;
43;7.19.3;0;Jan 19 2009;6.9 years;67;2575;31;1802;2;307;
44;7.19.2;0;Nov 13 2008;7.1 years;8;2583;3;1805;0;307;
45;7.19.1;0;Nov 5 2008;7.1 years;65;2648;24;1829;8;315;
46;7.19.0;0;Sep 1 2008;7.3 years;89;2737;37;1866;13;328;
47;7.18.2;0;Jun 4 2008;7.5 years;66;2803;21;1887;5;333;
48;7.18.1;0;Mar 30 2008;7.7 years;62;2865;23;1910;11;344;
49;7.18.0;0;Jan 28 2008;7.8 years;91;2956;36;1946;9;353;
50;7.17.1;0;Oct 29 2007;8.1 years;46;3002;19;1965;11;364;
51;7.17.0;0;Sep 13 2007;8.2 years;65;3067;27;1992;9;373;
52;7.16.4;0;Jul 10 2007;8.4 years;15;3082;5;1997;3;376;
53;7.16.3;0;Jun 25 2007;8.4 years;75;3157;32;2029;11;387;
54;7.16.2;0;Apr 11 2007;8.6 years;72;3229;21;2050;13;400;
55;7.16.1;0;Jan 29 2007;8.8 years;91;3320;29;2079;5;405;
56;7.16.0;0;Oct 30 2006;9.1 years;84;3404;23;2102;14;419;
57;7.15.5;0;Aug 7 2006;9.3 years;56;3460;10;2112;9;428;
58;7.15.4;0;Jun 12 2006;9.5 years;84;3544;23;2135;9;437;
59;7.15.3;0;Mar 20 2006;9.7 years;21;3565;9;2144;1;438;
60;7.15.2;0;Feb 27 2006;9.8 years;82;3647;20;2164;6;444;
61;7.15.1;0;Dec 7 2005;10.0 years;55;3702;19;2183;5;449;
62;7.15.0;0;Oct 13 2005;10.1 years;42;3744;9;2192;2;451;
63;7.14.1;0;Sep 1 2005;10.3 years;108;3852;30;2222;7;458;
64;7.14.0;0;May 16 2005;10.6 years;42;3894;18;2240;5;463;
65;7.13.2;0;Apr 4 2005;10.7 years;31;3925;15;2255;4;467;
66;7.13.1;0;Mar 4 2005;10.8 years;31;3956;12;2267;3;470;
67;7.13.0;0;Feb 1 2005;10.8 years;43;3999;18;2285;8;478;
68;7.12.3;0;Dec 20 2004;11.0 years;63;4062;28;2313;11;489;
